src,fname,funcaddr,keyimportapiinfo,netkeywords,n_num,n_branch,auto_atr,http_str,mqtt_atr,conn_str,io_api,get_api,env_api,cmpstr_api,optstr_api,strfind_api,strtran_api,label
/home/a123456/Desktop/GetRawFeatures/binaries/dlink/DIR-868L_ARM_binary/acsd,00011a88,39560,5,13,72,32,0,0,0,0,5,0,0,0,0,0,0,0
/home/a123456/Desktop/GetRawFeatures/binaries/dlink/DIR-868L_ARM_binary/acsd,init0,4320,5,13,3,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/a123456/Desktop/GetRawFeatures/binaries/dlink/DIR-868L_ARM_binary/acsd,fini0,4252,5,13,3,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/a123456/Desktop/GetRawFeatures/binaries/dlink/DIR-868L_ARM_binary/acsd,00009134,4404,5,13,22,14,0,0,0,0,0,0,0,0,0,0,0,0
/home/a123456/Desktop/GetRawFeatures/binaries/dlink/DIR-868L_ARM_binary/acsd,00009f60,8032,5,13,1,1,0,0,0,0,0,0,0,0,0,0,0,0
/home/a123456/Desktop/GetRawFeatures/binaries/dlink/DIR-868L_ARM_binary/acsd,0000ab88,11144,5,13,14,7,0,0,0,0,0,0,0,0,0,0,2,0
/home/a123456/Desktop/GetRawFeatures/binaries/dlink/DIR-868L_ARM_binary/acsd,00010e24,36388,5,13,7,2,0,0,0,0,0,0,0,0,0,0,0,0
/home/a123456/Desktop/GetRawFeatures/binaries/dlink/DIR-868L_ARM_binary/acsd,0000a2bc,8892,5,13,6,3,0,0,0,0,0,0,0,0,0,0,0,0
/home/a123456/Desktop/GetRawFeatures/binaries/dlink/DIR-868L_ARM_binary/acsd,0001107c,36988,5,13,1,1,0,0,0,0,0,0,0,0,0,0,0,0
/home/a123456/Desktop/GetRawFeatures/binaries/dlink/DIR-868L_ARM_binary/acsd,00010424,33828,5,13,9,4,0,0,0,0,0,0,0,0,0,0,0,0
/home/a123456/Desktop/GetRawFeatures/binaries/dlink/DIR-868L_ARM_binary/acsd,000104e0,34016,5,13,6,4,0,0,0,0,0,0,0,0,0,0,0,0
/home/a123456/Desktop/GetRawFeatures/binaries/dlink/DIR-868L_ARM_binary/acsd,00014ad0,51920,5,13,118,66,0,2,0,0,0,0,0,0,0,0,0,0
/home/a123456/Desktop/GetRawFeatures/binaries/dlink/DIR-868L_ARM_binary/acsd,0000bc88,15496,5,13,13,4,0,0,0,0,0,0,0,2,0,0,0,0
/home/a123456/Desktop/GetRawFeatures/binaries/dlink/DIR-868L_ARM_binary/acsd,00010ef0,36592,5,13,9,2,0,0,0,0,0,0,0,0,0,0,0,0
/home/a123456/Desktop/GetRawFeatures/binaries/dlink/DIR-868L_ARM_binary/acsd,0000c7b4,18356,5,13,9,2,0,0,0,0,0,0,0,0,0,0,0,0
/home/a123456/Desktop/GetRawFeatures/binaries/dlink/DIR-868L_ARM_binary/acsd,0000b13c,12604,5,13,8,4,0,0,0,0,0,0,0,0,3,0,0,0
/home/a123456/Desktop/GetRawFeatures/binaries/dlink/DIR-868L_ARM_binary/acsd,000147b8,51128,5,13,9,2,0,0,0,0,0,0,0,0,0,0,0,0
/home/a123456/Desktop/GetRawFeatures/binaries/dlink/DIR-868L_ARM_binary/acsd,0000b4e8,13544,5,13,71,30,0,0,0,0,2,0,0,0,0,0,3,0
/home/a123456/Desktop/GetRawFeatures/binaries/dlink/DIR-868L_ARM_binary/acsd,0000bfb4,16308,5,13,86,44,0,0,0,0,0,0,0,1,0,0,0,0
/home/a123456/Desktop/GetRawFeatures/binaries/dlink/DIR-868L_ARM_binary/acsd,0000aca0,11424,5,13,50,36,0,0,0,0,0,0,0,0,0,0,5,0
/home/a123456/Desktop/GetRawFeatures/binaries/dlink/DIR-868L_ARM_binary/acsd,00014a98,51864,5,13,3,3,0,0,0,0,0,0,0,0,0,0,0,0
/home/a123456/Desktop/GetRawFeatures/binaries/dlink/DIR-868L_ARM_binary/acsd,0000c8a0,18592,5,13,138,54,0,0,0,0,0,0,0,5,27,2,16,0
/home/a123456/Desktop/GetRawFeatures/binaries/dlink/DIR-868L_ARM_binary/acsd,0000db98,23448,5,13,282,116,0,0,0,0,0,0,0,1,0,0,3,0
/home/a123456/Desktop/GetRawFeatures/binaries/dlink/DIR-868L_ARM_binary/acsd,0000f794,30612,5,13,1,1,0,0,0,0,0,0,0,0,0,0,0,0
/home/a123456/Desktop/GetRawFeatures/binaries/dlink/DIR-868L_ARM_binary/acsd,0001492c,51500,5,13,1,0,0,1,0,0,0,0,0,0,0,0,0,0
/home/a123456/Desktop/GetRawFeatures/binaries/dlink/DIR-868L_ARM_binary/acsd,0000aa04,10756,5,13,15,10,0,0,0,0,0,0,0,0,0,0,0,0
/home/a123456/Desktop/GetRawFeatures/binaries/dlink/DIR-868L_ARM_binary/acsd,0000fbdc,31708,5,13,4,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/a123456/Desktop/GetRawFeatures/binaries/dlink/DIR-868L_ARM_binary/acsd,0000bdb8,15800,5,13,8,5,0,0,0,0,0,0,0,0,0,0,0,0
/home/a123456/Desktop/GetRawFeatures/binaries/dlink/DIR-868L_ARM_binary/acsd,0000b218,12824,5,13,20,8,0,0,0,0,0,0,0,0,0,0,0,0
/home/a123456/Desktop/GetRawFeatures/binaries/dlink/DIR-868L_ARM_binary/acsd,00010580,34176,5,13,6,3,0,0,0,0,0,0,0,0,0,0,0,0
/home/a123456/Desktop/GetRawFeatures/binaries/dlink/DIR-868L_ARM_binary/acsd,00011008,36872,5,13,8,1,0,0,0,0,1,0,0,0,0,0,0,0
/home/a123456/Desktop/GetRawFeatures/binaries/dlink/DIR-868L_ARM_binary/acsd,0001248c,42124,5,13,264,164,0,1,0,0,0,0,0,65,0,1,1,0
/home/a123456/Desktop/GetRawFeatures/binaries/dlink/DIR-868L_ARM_binary/acsd,00010f9c,36764,5,13,7,1,0,0,0,0,0,0,0,0,0,0,0,0
/home/a123456/Desktop/GetRawFeatures/binaries/dlink/DIR-868L_ARM_binary/acsd,0000a0bc,8380,5,13,13,10,0,0,0,0,0,0,0,0,0,0,0,0
/home/a123456/Desktop/GetRawFeatures/binaries/dlink/DIR-868L_ARM_binary/acsd,0000a20c,8716,5,13,3,0,0,1,0,0,0,0,0,0,0,0,0,0
/home/a123456/Desktop/GetRawFeatures/binaries/dlink/DIR-868L_ARM_binary/acsd,0000f830,30768,5,13,34,14,0,0,0,0,0,0,0,0,0,2,0,0
/home/a123456/Desktop/GetRawFeatures/binaries/dlink/DIR-868L_ARM_binary/acsd,000157a0,55200,5,13,9,3,0,0,0,0,0,0,0,0,0,0,0,0
/home/a123456/Desktop/GetRawFeatures/binaries/dlink/DIR-868L_ARM_binary/acsd,00011158,37208,5,13,82,36,0,0,0,0,1,0,0,0,0,0,4,0
/home/a123456/Desktop/GetRawFeatures/binaries/dlink/DIR-868L_ARM_binary/acsd,000101f4,33268,5,13,8,3,0,0,0,0,0,0,0,0,0,0,0,0
/home/a123456/Desktop/GetRawFeatures/binaries/dlink/DIR-868L_ARM_binary/acsd,0000fc70,31856,5,13,11,3,0,0,0,0,0,0,0,0,0,0,0,0
/home/a123456/Desktop/GetRawFeatures/binaries/dlink/DIR-868L_ARM_binary/acsd,0001008c,32908,5,13,17,6,0,0,0,0,0,0,0,0,0,0,0,0
/home/a123456/Desktop/GetRawFeatures/binaries/dlink/DIR-868L_ARM_binary/acsd,0000fdb8,32184,5,13,26,13,0,0,0,0,0,0,0,0,0,0,0,0
/home/a123456/Desktop/GetRawFeatures/binaries/dlink/DIR-868L_ARM_binary/acsd,00010310,33552,5,13,21,2,0,0,0,0,0,0,0,0,0,0,0,0
/home/a123456/Desktop/GetRawFeatures/binaries/dlink/DIR-868L_ARM_binary/acsd,0001238c,41868,5,13,9,4,0,0,0,0,0,0,0,0,0,3,0,0
/home/a123456/Desktop/GetRawFeatures/binaries/dlink/DIR-868L_ARM_binary/acsd,00012248,41544,5,13,10,4,0,0,0,0,0,0,0,0,0,0,0,0
/home/a123456/Desktop/GetRawFeatures/binaries/dlink/DIR-868L_ARM_binary/acsd,0000be88,16008,5,13,6,1,0,0,0,4,0,0,0,0,0,0,0,0
/home/a123456/Desktop/GetRawFeatures/binaries/dlink/DIR-868L_ARM_binary/acsd,000146a4,50852,5,13,11,2,0,0,0,0,0,0,0,0,0,0,0,0
/home/a123456/Desktop/GetRawFeatures/binaries/dlink/DIR-868L_ARM_binary/acsd,000149d4,51668,5,13,7,3,0,0,0,0,0,0,0,0,0,0,0,0
/home/a123456/Desktop/GetRawFeatures/binaries/dlink/DIR-868L_ARM_binary/acsd,00008d94,3476,5,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/a123456/Desktop/GetRawFeatures/binaries/dlink/DIR-868L_ARM_binary/addgroup,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/a123456/Desktop/GetRawFeatures/binaries/dlink/DIR-868L_ARM_binary/adduser,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/a123456/Desktop/GetRawFeatures/binaries/dlink/DIR-868L_ARM_binary/alpha_sxmount,_fini,11896,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/a123456/Desktop/GetRawFeatures/binaries/dlink/DIR-868L_ARM_binary/alpha_sxmount,00008e64,3684,10,0,26,13,0,0,0,0,0,3,5,2,0,0,0,0
/home/a123456/Desktop/GetRawFeatures/binaries/dlink/DIR-868L_ARM_binary/alpha_sxmount,_init,2676,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/a123456/Desktop/GetRawFeatures/binaries/dlink/DIR-868L_ARM_binary/alpha_sxmount,init0,3488,10,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/a123456/Desktop/GetRawFeatures/binaries/dlink/DIR-868L_ARM_binary/alpha_sxmount,fini0,3420,10,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/a123456/Desktop/GetRawFeatures/binaries/dlink/DIR-868L_ARM_binary/alpha_sxmount,00008df4,3572,10,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0
/home/a123456/Desktop/GetRawFeatures/binaries/dlink/DIR-868L_ARM_binary/alpha_sxmount,00009404,5124,10,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0
/home/a123456/Desktop/GetRawFeatures/binaries/dlink/DIR-868L_ARM_binary/alpha_sxmount,00009228,4648,10,0,18,7,0,0,0,0,3,1,0,0,1,0,0,0
/home/a123456/Desktop/GetRawFeatures/binaries/dlink/DIR-868L_ARM_binary/alpha_sxmount,000091ac,4524,10,0,8,4,0,0,0,0,0,0,0,0,0,0,0,0
/home/a123456/Desktop/GetRawFeatures/binaries/dlink/DIR-868L_ARM_binary/alpha_sxmount,00009d98,7576,10,0,20,7,0,0,0,0,0,0,0,0,0,0,0,0
/home/a123456/Desktop/GetRawFeatures/binaries/dlink/DIR-868L_ARM_binary/alpha_sxmount,00009c3c,7228,10,0,27,8,0,0,0,0,0,0,0,0,0,0,0,0
/home/a123456/Desktop/GetRawFeatures/binaries/dlink/DIR-868L_ARM_binary/alpha_sxmount,00009b40,6976,10,0,18,7,0,0,0,0,0,0,0,0,0,0,0,0
/home/a123456/Desktop/GetRawFeatures/binaries/dlink/DIR-868L_ARM_binary/alpha_sxmount,0000953c,5436,10,0,6,3,0,0,0,0,1,0,0,0,0,0,0,0
/home/a123456/Desktop/GetRawFeatures/binaries/dlink/DIR-868L_ARM_binary/alpha_sxmount,0000947c,5244,10,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
/home/a123456/Desktop/GetRawFeatures/binaries/dlink/DIR-868L_ARM_binary/alpha_sxmount,0000a23c,8764,10,0,20,6,0,0,0,0,1,1,0,1,1,1,0,0
/home/a123456/Desktop/GetRawFeatures/binaries/dlink/DIR-868L_ARM_binary/alpha_sxmount,0000a3ac,9132,10,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
/home/a123456/Desktop/GetRawFeatures/binaries/dlink/DIR-868L_ARM_binary/alpha_sxmount,0000a014,8212,10,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0
/home/a123456/Desktop/GetRawFeatures/binaries/dlink/DIR-868L_ARM_binary/alpha_sxmount,0000a04c,8268,10,0,13,4,0,0,0,0,0,1,0,1,0,1,0,0
