src,fname,funcaddr,keyimportapiinfo,netkeywords,n_num,n_branch,auto_atr,http_str,mqtt_atr,conn_str,io_api,get_api,env_api,cmpstr_api,optstr_api,strfind_api,strtran_api,label
/home/a123456/Desktop/GetRawFeatures/binaries/netgear/AC1450-V1_ARM_binary/acl_logd,main,1728,0,0,15,8,1,0,0,0,0,0,0,1,2,0,0,0
/home/a123456/Desktop/GetRawFeatures/binaries/netgear/AC1450-V1_ARM_binary/acl_logd,init0,1644,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/a123456/Desktop/GetRawFeatures/binaries/netgear/AC1450-V1_ARM_binary/acl_logd,fini0,1576,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/a123456/Desktop/GetRawFeatures/binaries/netgear/AC1450-V1_ARM_binary/acos_service,main,12692,8,10,177,86,0,0,0,2,3,0,0,10,0,22,3,0
/home/a123456/Desktop/GetRawFeatures/binaries/netgear/AC1450-V1_ARM_binary/acos_service,init0,9208,8,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/a123456/Desktop/GetRawFeatures/binaries/netgear/AC1450-V1_ARM_binary/acos_service,fini0,9140,8,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/a123456/Desktop/GetRawFeatures/binaries/netgear/AC1450-V1_ARM_binary/acos_service,0000a5bc,9660,8,10,55,27,0,0,0,8,0,0,0,10,1,0,0,0
/home/a123456/Desktop/GetRawFeatures/binaries/netgear/AC1450-V1_ARM_binary/acos_service,0000a44c,9292,8,10,4,1,0,0,0,0,0,0,0,0,0,0,0,0
/home/a123456/Desktop/GetRawFeatures/binaries/netgear/AC1450-V1_ARM_binary/acos_service,0001c524,83236,8,10,5,1,0,0,0,0,1,1,0,0,0,0,0,0
/home/a123456/Desktop/GetRawFeatures/binaries/netgear/AC1450-V1_ARM_binary/acos_service,0000b008,12296,8,10,14,7,0,0,8,0,0,0,0,0,0,0,0,0
/home/a123456/Desktop/GetRawFeatures/binaries/netgear/AC1450-V1_ARM_binary/acos_service,00012314,41748,8,10,48,22,0,0,0,0,2,0,0,3,0,0,4,0
/home/a123456/Desktop/GetRawFeatures/binaries/netgear/AC1450-V1_ARM_binary/acos_service,00012afc,43772,8,10,24,14,0,0,0,0,2,0,0,3,0,0,2,0
/home/a123456/Desktop/GetRawFeatures/binaries/netgear/AC1450-V1_ARM_binary/acos_service,00015228,53800,8,10,55,18,0,0,0,0,4,2,20,2,4,2,0,0
/home/a123456/Desktop/GetRawFeatures/binaries/netgear/AC1450-V1_ARM_binary/acos_service,00011a00,39424,8,10,8,4,0,0,0,0,0,0,0,0,0,0,1,0
/home/a123456/Desktop/GetRawFeatures/binaries/netgear/AC1450-V1_ARM_binary/acos_service,0001a60c,75276,8,10,3,1,0,0,0,0,0,0,0,0,0,0,0,0
/home/a123456/Desktop/GetRawFeatures/binaries/netgear/AC1450-V1_ARM_binary/acos_service,0001c434,82996,8,10,5,1,0,0,0,0,1,1,0,0,0,0,0,0
/home/a123456/Desktop/GetRawFeatures/binaries/netgear/AC1450-V1_ARM_binary/acos_service,00012fc4,44996,8,10,21,12,0,0,0,0,0,0,0,0,4,0,0,0
