src,fname,funcaddr,keyimportapiinfo,netkeywords,n_num,n_branch,auto_atr,http_str,mqtt_atr,conn_str,io_api,get_api,env_api,cmpstr_api,optstr_api,strfind_api,strtran_api,label
/home/a123456/Desktop/GetRawFeatures/binaries/netgear/XR500-V2.1.0.4_ARM_binary/80211stats,0000865c,1628,2,3,150,132,0,0,0,0,1,1,0,0,0,0,0,0
/home/a123456/Desktop/GetRawFeatures/binaries/netgear/XR500-V2.1.0.4_ARM_binary/80211stats,000094cc,5324,2,3,91,86,0,0,0,0,0,0,0,0,0,0,0,0
/home/a123456/Desktop/GetRawFeatures/binaries/netgear/XR500-V2.1.0.4_ARM_binary/80211stats,00009278,4728,2,3,33,33,0,0,0,0,0,0,0,0,0,0,0,0
/home/a123456/Desktop/GetRawFeatures/binaries/netgear/XR500-V2.1.0.4_ARM_binary/acfg_tool,00009538,5432,12,23,24,12,0,0,0,0,0,1,0,0,0,0,0,0
/home/a123456/Desktop/GetRawFeatures/binaries/netgear/XR500-V2.1.0.4_ARM_binary/acfg_tool,00010688,34440,12,23,7,4,0,0,0,0,2,0,0,0,0,0,0,0
/home/a123456/Desktop/GetRawFeatures/binaries/netgear/XR500-V2.1.0.4_ARM_binary/acfg_tool,00009ce0,7392,12,23,1,1,0,0,0,0,0,0,0,0,0,0,0,0
/home/a123456/Desktop/GetRawFeatures/binaries/netgear/XR500-V2.1.0.4_ARM_binary/acfg_tool,00009d7c,7548,12,23,10,2,0,0,0,0,0,0,0,2,0,0,0,0
/home/a123456/Desktop/GetRawFeatures/binaries/netgear/XR500-V2.1.0.4_ARM_binary/acfg_tool,0000aa58,10840,12,23,6,2,0,0,0,0,0,0,0,0,0,0,0,0
/home/a123456/Desktop/GetRawFeatures/binaries/netgear/XR500-V2.1.0.4_ARM_binary/acfg_tool,00009c8c,7308,12,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/a123456/Desktop/GetRawFeatures/binaries/netgear/XR500-V2.1.0.4_ARM_binary/acfg_tool,00009c30,7216,12,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/a123456/Desktop/GetRawFeatures/binaries/netgear/XR500-V2.1.0.4_ARM_binary/acfg_tool,00009bd4,7124,12,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/a123456/Desktop/GetRawFeatures/binaries/netgear/XR500-V2.1.0.4_ARM_binary/acfg_tool,00009b78,7032,12,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/a123456/Desktop/GetRawFeatures/binaries/netgear/XR500-V2.1.0.4_ARM_binary/acfg_tool,0000a384,9092,12,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/a123456/Desktop/GetRawFeatures/binaries/netgear/XR500-V2.1.0.4_ARM_binary/acfg_tool,00018320,66336,12,23,8,5,0,0,0,0,0,0,0,0,0,0,0,0
/home/a123456/Desktop/GetRawFeatures/binaries/netgear/XR500-V2.1.0.4_ARM_binary/acfg_tool,00009f1c,7964,12,23,3,0,0,0,0,0,1,0,0,0,0,0,0,0
/home/a123456/Desktop/GetRawFeatures/binaries/netgear/XR500-V2.1.0.4_ARM_binary/acfg_tool,0000a338,9016,12,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/a123456/Desktop/GetRawFeatures/binaries/netgear/XR500-V2.1.0.4_ARM_binary/acfg_tool,0000a270,8816,12,23,4,1,0,0,0,0,0,0,0,0,0,0,0,0
/home/a123456/Desktop/GetRawFeatures/binaries/netgear/XR500-V2.1.0.4_ARM_binary/acfg_tool,0000a2d0,8912,12,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/a123456/Desktop/GetRawFeatures/binaries/netgear/XR500-V2.1.0.4_ARM_binary/acfg_tool,0000a144,8516,12,23,5,2,0,0,0,0,0,0,0,0,0,0,0,0
/home/a123456/Desktop/GetRawFeatures/binaries/netgear/XR500-V2.1.0.4_ARM_binary/acfg_tool,0000a0f4,8436,12,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/a123456/Desktop/GetRawFeatures/binaries/netgear/XR500-V2.1.0.4_ARM_binary/acfg_tool,00010218,33304,12,23,28,10,0,0,0,0,2,0,0,0,0,0,0,0
/home/a123456/Desktop/GetRawFeatures/binaries/netgear/XR500-V2.1.0.4_ARM_binary/acfg_tool,00009ed8,7896,12,23,7,3,0,0,0,0,0,0,0,0,0,0,0,0
/home/a123456/Desktop/GetRawFeatures/binaries/netgear/XR500-V2.1.0.4_ARM_binary/acfg_tool,00009d38,7480,12,23,6,2,0,0,0,0,0,0,0,1,0,0,0,0
/home/a123456/Desktop/GetRawFeatures/binaries/netgear/XR500-V2.1.0.4_ARM_binary/acfg_tool,00009e38,7736,12,23,6,1,0,0,0,0,0,0,0,0,0,0,0,0
/home/a123456/Desktop/GetRawFeatures/binaries/netgear/XR500-V2.1.0.4_ARM_binary/acfg_tool,0000ad0c,11532,12,23,1,1,0,0,0,0,0,0,0,0,0,0,0,0
/home/a123456/Desktop/GetRawFeatures/binaries/netgear/XR500-V2.1.0.4_ARM_binary/acfg_tool,000125e0,42464,12,23,6,1,0,0,0,0,0,0,0,0,2,0,2,0
/home/a123456/Desktop/GetRawFeatures/binaries/netgear/XR500-V2.1.0.4_ARM_binary/acfg_tool,00009730,5936,12,23,15,6,0,0,0,0,0,0,0,0,0,0,3,0
/home/a123456/Desktop/GetRawFeatures/binaries/netgear/XR500-V2.1.0.4_ARM_binary/acfg_tool,00018948,67912,12,23,3,1,0,0,0,0,0,0,0,0,0,0,0,0
/home/a123456/Desktop/GetRawFeatures/binaries/netgear/XR500-V2.1.0.4_ARM_binary/acfg_tool,0000f4a0,29856,12,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/a123456/Desktop/GetRawFeatures/binaries/netgear/XR500-V2.1.0.4_ARM_binary/acfg_tool,00019a84,72324,12,23,14,6,0,0,0,0,3,0,0,0,1,0,0,0
/home/a123456/Desktop/GetRawFeatures/binaries/netgear/XR500-V2.1.0.4_ARM_binary/acfg_tool,0001990c,71948,12,23,11,5,0,0,0,0,2,0,0,0,1,0,0,0
/home/a123456/Desktop/GetRawFeatures/binaries/netgear/XR500-V2.1.0.4_ARM_binary/acfg_tool,0000f4c0,29888,12,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/a123456/Desktop/GetRawFeatures/binaries/netgear/XR500-V2.1.0.4_ARM_binary/acfg_tool,00018d00,68864,12,23,3,1,0,0,0,0,0,0,0,0,0,0,0,0
/home/a123456/Desktop/GetRawFeatures/binaries/netgear/XR500-V2.1.0.4_ARM_binary/acfg_tool,00019e24,73252,12,23,8,4,0,0,0,0,0,0,0,0,0,0,0,0
/home/a123456/Desktop/GetRawFeatures/binaries/netgear/XR500-V2.1.0.4_ARM_binary/acfg_tool,00019c78,72824,12,23,11,5,0,0,0,0,0,0,0,0,0,0,0,0
/home/a123456/Desktop/GetRawFeatures/binaries/netgear/XR500-V2.1.0.4_ARM_binary/acfg_tool,000195d0,71120,12,23,30,13,0,0,0,0,3,0,0,0,1,0,0,0
/home/a123456/Desktop/GetRawFeatures/binaries/netgear/XR500-V2.1.0.4_ARM_binary/acfg_tool,00019348,70472,12,23,22,11,0,0,0,0,3,0,0,0,1,0,0,0
/home/a123456/Desktop/GetRawFeatures/binaries/netgear/XR500-V2.1.0.4_ARM_binary/acfg_tool,000191f0,70128,12,23,12,5,0,0,0,0,0,0,0,0,0,0,0,0
/home/a123456/Desktop/GetRawFeatures/binaries/netgear/XR500-V2.1.0.4_ARM_binary/acfg_tool,00019174,70004,12,23,3,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/a123456/Desktop/GetRawFeatures/binaries/netgear/XR500-V2.1.0.4_ARM_binary/acfg_tool,000105d8,34264,12,23,5,3,0,0,0,0,1,0,0,0,1,0,0,0
/home/a123456/Desktop/GetRawFeatures/binaries/netgear/XR500-V2.1.0.4_ARM_binary/acfg_tool,000190e4,69860,12,23,3,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/a123456/Desktop/GetRawFeatures/binaries/netgear/XR500-V2.1.0.4_ARM_binary/acfg_tool,00018e88,69256,12,23,4,1,0,0,0,0,0,0,0,0,0,0,0,0
/home/a123456/Desktop/GetRawFeatures/binaries/netgear/XR500-V2.1.0.4_ARM_binary/acfg_tool,00019054,69716,12,23,3,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/a123456/Desktop/GetRawFeatures/binaries/netgear/XR500-V2.1.0.4_ARM_binary/acfg_tool,00018fe8,69608,12,23,3,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/a123456/Desktop/GetRawFeatures/binaries/netgear/XR500-V2.1.0.4_ARM_binary/acfg_tool,00018f38,69432,12,23,4,1,0,0,0,0,0,0,0,0,0,0,0,0
/home/a123456/Desktop/GetRawFeatures/binaries/netgear/XR500-V2.1.0.4_ARM_binary/acfg_tool,00018d84,68996,12,23,12,4,0,0,0,0,0,0,0,0,0,0,0,0
/home/a123456/Desktop/GetRawFeatures/binaries/netgear/XR500-V2.1.0.4_ARM_binary/acfg_tool,00019efc,73468,12,23,3,1,0,0,0,0,0,0,0,0,0,0,0,0
/home/a123456/Desktop/GetRawFeatures/binaries/netgear/XR500-V2.1.0.4_ARM_binary/acfg_tool,000189b8,68024,12,23,12,6,0,0,0,0,0,0,0,0,0,0,0,0
/home/a123456/Desktop/GetRawFeatures/binaries/netgear/XR500-V2.1.0.4_ARM_binary/acfg_tool,000187ec,67564,12,23,3,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/a123456/Desktop/GetRawFeatures/binaries/netgear/XR500-V2.1.0.4_ARM_binary/acfg_tool,00018870,67696,12,23,5,1,0,0,0,0,0,0,0,0,0,0,0,0
/home/a123456/Desktop/GetRawFeatures/binaries/netgear/XR500-V2.1.0.4_ARM_binary/acfg_tool,00010938,35128,12,23,3,1,0,0,0,0,0,0,0,0,0,0,0,0
/home/a123456/Desktop/GetRawFeatures/binaries/netgear/XR500-V2.1.0.4_ARM_binary/acfg_tool,00012e68,44648,12,23,19,10,0,0,0,0,0,0,0,5,7,0,0,0
/home/a123456/Desktop/GetRawFeatures/binaries/netgear/XR500-V2.1.0.4_ARM_binary/acfg_tool,0001837c,66428,12,23,23,10,0,0,0,0,0,0,0,2,5,0,0,0
/home/a123456/Desktop/GetRawFeatures/binaries/netgear/XR500-V2.1.0.4_ARM_binary/acfg_tool,00011210,37392,12,23,5,3,0,0,0,0,0,0,0,0,0,0,0,0
/home/a123456/Desktop/GetRawFeatures/binaries/netgear/XR500-V2.1.0.4_ARM_binary/acfg_tool,0001a924,76068,12,23,3,1,0,0,0,0,0,0,0,0,0,0,0,0
/home/a123456/Desktop/GetRawFeatures/binaries/netgear/XR500-V2.1.0.4_ARM_binary/acfg_tool,00019f3c,73532,12,23,10,5,0,0,0,0,1,1,0,2,2,2,0,0
/home/a123456/Desktop/GetRawFeatures/binaries/netgear/XR500-V2.1.0.4_ARM_binary/acfg_tool,0001db9c,88988,12,23,11,2,0,0,0,0,0,0,0,0,0,0,0,0
/home/a123456/Desktop/GetRawFeatures/binaries/netgear/XR500-V2.1.0.4_ARM_binary/acfg_tool,0001a374,74612,12,23,14,5,0,0,0,0,1,0,0,0,0,0,0,0
/home/a123456/Desktop/GetRawFeatures/binaries/netgear/XR500-V2.1.0.4_ARM_binary/acfg_tool,000186e4,67300,12,23,7,1,0,0,0,0,0,0,0,1,1,0,0,0
/home/a123456/Desktop/GetRawFeatures/binaries/netgear/XR500-V2.1.0.4_ARM_binary/acfg_tool,000128dc,43228,12,23,1,0,0,0,0,0,0,0,0,0,1,0,0,0
/home/a123456/Desktop/GetRawFeatures/binaries/netgear/XR500-V2.1.0.4_ARM_binary/acfg_tool,00015b40,56128,12,23,13,7,0,0,0,0,0,0,0,0,0,0,0,0
/home/a123456/Desktop/GetRawFeatures/binaries/netgear/XR500-V2.1.0.4_ARM_binary/acfg_tool,0001430c,49932,12,23,4,2,0,0,0,0,0,0,0,0,0,0,0,0
