src,fname,funcaddr,keyimportapiinfo,netkeywords,n_num,n_branch,auto_atr,http_str,mqtt_atr,conn_str,io_api,get_api,env_api,cmpstr_api,optstr_api,strfind_api,strtran_api,label
/home/a123456/Desktop/GetRawFeatures/binaries/Netgear/R7000_binary/abFifo,init0,1824,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/a123456/Desktop/GetRawFeatures/binaries/Netgear/R7000_binary/abFifo,fini0,1756,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/a123456/Desktop/GetRawFeatures/binaries/Netgear/R7000_binary/abFifo,000087cc,1996,4,0,6,2,0,0,0,0,2,0,0,0,0,0,0,0
/home/a123456/Desktop/GetRawFeatures/binaries/Netgear/R7000_binary/abFifo,000088e0,2272,4,0,5,3,0,0,0,0,1,0,0,0,0,0,0,0
/home/a123456/Desktop/GetRawFeatures/binaries/Netgear/R7000_binary/abFifo,0000899c,2460,4,0,10,3,0,0,0,0,2,2,0,0,0,0,0,0
/home/a123456/Desktop/GetRawFeatures/binaries/Netgear/R7000_binary/acl_logd,main,1740,0,0,15,8,1,0,0,0,0,0,0,1,2,0,0,0
/home/a123456/Desktop/GetRawFeatures/binaries/Netgear/R7000_binary/acl_logd,init0,1656,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/a123456/Desktop/GetRawFeatures/binaries/Netgear/R7000_binary/acl_logd,fini0,1588,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/a123456/Desktop/GetRawFeatures/binaries/Netgear/R7000_binary/acos_service,main,17256,9,26,304,151,1,2,2,3,4,0,0,22,0,36,5,1
/home/a123456/Desktop/GetRawFeatures/binaries/Netgear/R7000_binary/acos_service,acosnat_set_features,46520,9,26,1,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/a123456/Desktop/GetRawFeatures/binaries/Netgear/R7000_binary/acos_service,init0,11872,9,26,3,0,0,0,0,0,0,0,0,0,0,0,0,0
